gene	cluster
MA_10433311g0010	Cluster1
MA_10435913g0010	Cluster1
MA_53545g0010	Cluster1
MA_135063g0010	Cluster1
MA_10432090g0010	Cluster1
MA_100402g0010	Cluster1
MA_43617g0010	Cluster1
MA_83329g0010	Cluster1
MA_10436655g0010	Cluster1
MA_120108g0010	Cluster1
MA_8761892g0010	Cluster1
MA_7418293g0010	Cluster1
MA_10039253g0010	Cluster1
MA_15398g0010	Cluster1
MA_15543g0010	Cluster1
MA_10433321g0010	Cluster1
MA_27253g0010	Cluster1
MA_10436697g0010	Cluster1
MA_262267g0010	Cluster1
MA_34668g0020	Cluster1
MA_182984g0010	Cluster1
MA_952g0010	Cluster1
MA_175110g0010	Cluster1
MA_8253027g0010	Cluster1
MA_10215954g0010	Cluster1
MA_10208000g0010	Cluster1
MA_10433965g0010	Cluster1
MA_391816g0010	Cluster1
MA_547264g0010	Cluster1
MA_49677g0010	Cluster1
MA_10426470g0010	Cluster1
MA_10318026g0010	Cluster1
MA_10375504g0010	Cluster1
MA_90171g0010	Cluster1
MA_90171g0020	Cluster1
MA_360253g0010	Cluster1
MA_464836g0010	Cluster1
MA_140585g0010	Cluster1
MA_9978436g0010	Cluster1
MA_35694g0010	Cluster1
MA_10433732g0030	Cluster1
MA_10429553g0010	Cluster1
MA_10429487g0020	Cluster1
MA_10429951g0010	Cluster1
MA_94605g0010	Cluster1
MA_18240g0010	Cluster1
MA_10436402g0020	Cluster1
MA_56412g0010	Cluster1
MA_10427630g0010	Cluster1
MA_10432483g0010	Cluster1
MA_255g0010	Cluster1
MA_8740541g0010	Cluster1
MA_242539g0010	Cluster1
MA_10432308g0010	Cluster1
MA_204401g0010	Cluster1
MA_10427344g0010	Cluster1
MA_10428445g0020	Cluster1
MA_7062541g0010	Cluster1
MA_10432055g0010	Cluster1
MA_6079049g0010	Cluster1
MA_763g0010	Cluster1
MA_106255g0010	Cluster1
MA_10428445g0010	Cluster1
MA_5373215g0010	Cluster1
MA_10428988g0010	Cluster1
MA_104140g0030	Cluster1
MA_10435352g0010	Cluster1
MA_63144g0010	Cluster1
MA_5386467g0010	Cluster1
MA_194712g0010	Cluster1
MA_38087g0010	Cluster1
MA_10432144g0020	Cluster1
MA_412882g0010	Cluster1
MA_10434121g0010	Cluster1
MA_123309g0010	Cluster1
MA_10337581g0010	Cluster1
MA_13573g0010	Cluster1
MA_110587g0010	Cluster1
MA_19310g0010	Cluster1
MA_75022g0010	Cluster1
MA_63061g0010	Cluster1
MA_20423g0010	Cluster1
MA_2442212g0010	Cluster1
MA_10432716g0010	Cluster1
MA_6738g0020	Cluster1
MA_792631g0010	Cluster1
MA_461971g0010	Cluster1
MA_7109889g0010	Cluster1
MA_7675g0010	Cluster1
MA_123750g0010	Cluster1
MA_707397g0010	Cluster1
MA_101290g0010	Cluster1
MA_87895g0010	Cluster1
MA_10428024g0010	Cluster1
MA_12503g0010	Cluster1
MA_125601g0010	Cluster1
MA_95898g0010	Cluster1
MA_42108g0010	Cluster1
MA_2079g0010	Cluster1
MA_9646507g0010	Cluster1
MA_6535g0010	Cluster1
MA_267113g0010	Cluster1
MA_10429354g0010	Cluster1
MA_8527195g0010	Cluster1
MA_112694g0010	Cluster1
MA_1737g0020	Cluster1
MA_21299g0010	Cluster1
MA_100820g0010	Cluster1
MA_80085g0010	Cluster1
MA_80324g0020	Cluster1
MA_121879g0010	Cluster1
MA_698430g0010	Cluster1
MA_115261g0010	Cluster1
MA_108868g0010	Cluster1
MA_8816169g0010	Cluster1
MA_74264g0020	Cluster1
MA_18969g0010	Cluster1
MA_10432442g0010	Cluster1
MA_7438095g0010	Cluster1
MA_114720g0010	Cluster1
MA_210150g0010	Cluster1
MA_10430870g0010	Cluster1
MA_19229g0010	Cluster1
MA_173703g0010	Cluster1
MA_86298g0010	Cluster1
MA_10427996g0010	Cluster1
MA_7794578g0010	Cluster1
MA_64427g0020	Cluster1
MA_59385g0010	Cluster1
MA_10427996g0020	Cluster1
MA_10428915g0010	Cluster1
MA_10201591g0010	Cluster1
MA_188861g0010	Cluster1
MA_24477g0010	Cluster1
MA_72003g0010	Cluster1
MA_7312g0010	Cluster1
MA_52027g0010	Cluster1
MA_19072g0010	Cluster1
MA_16875g0010	Cluster1
MA_468267g0010	Cluster1
MA_406697g0010	Cluster1
MA_9600951g0010	Cluster1
MA_10427000g0010	Cluster1
MA_10427828g0010	Cluster1
MA_20409g0010	Cluster1
MA_958112g0010	Cluster1
MA_10432016g0010	Cluster1
MA_334424g0010	Cluster1
MA_9031564g0010	Cluster1
MA_10426350g0010	Cluster1
MA_629009g0010	Cluster1
MA_643909g0010	Cluster1
MA_10431902g0010	Cluster1
MA_44185g0010	Cluster1
MA_7469g0010	Cluster1
MA_112057g0010	Cluster1
MA_81293g0010	Cluster1
MA_9347801g0010	Cluster1
MA_139797g0010	Cluster1
MA_10427683g0010	Cluster1
MA_164849g0010	Cluster1
MA_35043g0010	Cluster1
MA_720135g0010	Cluster1
MA_126678g0010	Cluster1
MA_74014g0010	Cluster1
MA_11327g0010	Cluster1
MA_10436589g0010	Cluster1
MA_7552973g0010	Cluster1
MA_94870g0010	Cluster1
MA_349932g0010	Cluster1
MA_12044g0010	Cluster1
MA_119280g0010	Cluster1
MA_7255973g0010	Cluster1
MA_3059351g0010	Cluster1
MA_7033395g0010	Cluster1
MA_140148g0010	Cluster1
MA_43408g0010	Cluster1
MA_5789309g0010	Cluster1
MA_10432065g0010	Cluster1
